,date,cases_new,state_id,cases_recovered,cases_death,cases_active,checkins,unique_ind,cumul_full,pop,percent_vax,temp
4136,2021-11-09,245,8,132,0,2393,1744184,774967,1499958,1773600,0.85,28.3
4137,2021-11-09,545,13,788,8,7696,1848076,669962,2349283,3908500,0.6,25.600000000000005
4138,2021-11-09,416,14,702,13,5972,1868901,690695,2110542,2816500,0.75,27.3
4139,2021-11-09,1080,11,956,12,14216,6394825,2980824,4591671,6538000,0.7,27.6
4140,2021-11-09,246,12,242,2,2384,510559,257391,863665,1259300,0.69,27.0
4141,2021-11-09,413,15,333,1,3560,4658183,2169041,2983543,1773700,1.68,27.7
4142,2021-11-09,7,16,3,0,83,78723,31591,78872,99600,0.79,26.5
4143,2021-11-09,48,17,42,0,502,231539,141951,143760,110000,1.31,27.5
4144,2021-11-10,485,2,302,2,5963,3240954,1465502,2989176,3781000,0.79,25.4
4145,2021-11-10,438,3,375,5,2785,1186345,600266,1547007,2185100,0.71,26.8
4146,2021-11-10,806,4,527,4,5581,405830,230759,1148621,1906700,0.6,23.4
4147,2021-11-10,125,5,164,1,2827,844510,388063,706713,932700,0.76,26.6
4148,2021-11-10,199,6,139,1,2150,997347,485205,924194,1128800,0.82,26.6
4149,2021-11-10,367,7,576,1,3099,1240902,523990,1156293,1678700,0.69,25.7
4150,2021-11-10,200,9,181,8,2206,1943999,838449,1826591,2510300,0.73,26.9
4151,2021-11-10,33,10,36,0,475,300240,178602,200391,254900,0.79,26.8
4152,2021-11-10,318,8,58,4,2649,1980526,863160,1501604,1773600,0.85,26.8
4153,2021-11-10,573,13,401,11,7863,2213779,761116,2352038,3908500,0.6,27.33333333333333
4154,2021-11-10,480,14,697,12,5746,1993409,735872,2110843,2816500,0.75,27.25
4155,2021-11-10,1597,11,1118,3,14689,7008996,3229027,4609384,6538000,0.71,26.200000000000006
4156,2021-11-10,273,12,227,4,2429,483473,254288,864594,1259300,0.69,24.55
4157,2021-11-10,323,15,248,3,3634,5002548,2297875,2985953,1773700,1.68,26.6
4158,2021-11-10,7,16,5,0,85,90787,35680,78879,99600,0.79,27.7
4159,2021-11-10,19,17,14,0,507,246936,151180,143895,110000,1.31,25.8
4160,2021-11-11,649,2,440,2,6172,3417334,1517851,2997191,3781000,0.79,25.9
4161,2021-11-11,351,3,297,1,2837,1200383,607181,1548936,2185100,0.71,27.7
4162,2021-11-11,678,4,595,3,5659,447538,243969,1149641,1906700,0.6,24.4
4163,2021-11-11,158,5,279,0,2704,863803,397501,707220,932700,0.76,27.2
