id,date,checkins,unique_ind,unique_loc,checkins_to_ind_ratio,state_id,checkins_to_unique_loc_ratio
5114,2021-09-22,683158,334434,26458,2.042728909,5,25.82047018
5115,2021-09-22,951919,453867,31678,2.097352308,6,30.04984532
5116,2021-09-22,937352,421757,38849,2.222493047,7,24.12808567
5117,2021-09-22,1513888,698842,62461,2.16628079,9,24.2373321
5118,2021-09-22,269617,157070,11166,1.716540396,10,24.14624754
5119,2021-09-22,1542324,720415,55080,2.140882686,8,28.00152505
5120,2021-09-22,1850975,669557,61969,2.764477109,13,29.86937017
5121,2021-09-22,1696867,652455,55188,2.600741814,14,30.74702834
5122,2021-09-22,6198751,2924831,181933,2.119353563,11,34.07161428
5123,2021-09-22,486362,246605,24128,1.972230896,12,20.15757626
5124,2021-09-22,4300665,2014258,100084,2.135111292,15,42.97055473
5125,2021-09-22,92472,36057,2456,2.56460604,16,37.6514658
5126,2021-09-22,225057,134385,3126,1.674718161,17,71.99520154
5127,2021-09-23,2537233,1249813,98076,2.030090101,2,25.87007015
5128,2021-09-23,990685,521856,42244,1.898387678,3,23.45149607
5129,2021-09-23,466827,246642,27908,1.892731165,4,16.72735416
5130,2021-09-23,696842,338557,26274,2.058270838,5,26.52211312
5131,2021-09-23,977528,462503,31760,2.113560344,6,30.77858942
5132,2021-09-23,979332,432197,39090,2.265938912,7,25.0532617
5133,2021-09-23,1577648,716589,62832,2.201607895,9,25.10898905
5134,2021-09-23,277080,159986,11169,1.731901541,10,24.80795058
5135,2021-09-23,1554170,729361,55167,2.130865237,8,28.17209564
5136,2021-09-23,1864753,670666,62143,2.780449583,13,30.00745056
5137,2021-09-23,1761344,661122,54836,2.664173935,14,32.120213
5138,2021-09-23,6271898,2976657,181943,2.107027447,11,34.47177413
5139,2021-09-23,528937,261465,24423,2.022974394,12,21.6573312
5140,2021-09-23,4369964,2074843,99929,2.106166105,15,43.73068879
5141,2021-09-23,92023,35760,2428,2.573350112,16,37.90074135
5142,2021-09-23,245016,141989,3114,1.725598462,17,78.68208092
5143,2021-09-24,2561585,1253960,93612,2.042796421,2,27.36385292
5144,2021-09-24,875473,475563,31729,1.840919079,3,27.59220272
5145,2021-09-24,359391,202785,16039,1.772276056,4,22.40731966
5146,2021-09-24,716385,345671,26022,2.072447501,5,27.52997464
5147,2021-09-24,1025880,476616,31662,2.152424593,6,32.40098541
5148,2021-09-24,1022854,446268,38301,2.292017353,7,26.70567348
5149,2021-09-24,1581319,724207,61942,2.183517972,9,25.52902715
5150,2021-09-24,281972,161924,10780,1.741384847,10,26.15695733
5151,2021-09-24,1602149,740626,54975,2.163236235,8,29.14322874
5152,2021-09-24,1954746,690146,62372,2.832365905,13,31.34012057
5153,2021-09-24,1871100,686946,55458,2.723794883,14,33.73904576
5154,2021-09-24,6565853,3072171,180472,2.137202975,11,36.38156057
5155,2021-09-24,389015,212345,13008,1.831995102,12,29.90582718
5156,2021-09-24,4586957,2144442,99898,2.13899793,15,45.91640473
5157,2021-09-24,101303,37871,2443,2.67494917,16,41.46663938
5158,2021-09-24,263281,150921,3093,1.744495465,17,85.12156482
5159,2021-09-25,2592546,1239751,89479,2.091182826,2,28.97379273
5160,2021-09-25,960029,498223,38241,1.926906225,3,25.10470437
5161,2021-09-25,454685,238384,24882,1.907363749,4,18.27365164
5162,2021-09-25,722390,341098,23623,2.117837103,5,30.57994328
5163,2021-09-25,1046786,470839,28361,2.223235543,6,36.90934734
5164,2021-09-25,977179,424981,34182,2.2993475,7,28.58753145
5165,2021-09-25,1567097,707290,57977,2.215635736,9,27.02963244
5166,2021-09-25,255815,144216,9816,1.773832307,10,26.06102282
5167,2021-09-25,1564393,704773,48875,2.219711879,8,32.00804092
5168,2021-09-25,1861119,651242,55815,2.857799405,13,33.34442354
5169,2021-09-25,1871576,678637,48095,2.757845505,14,38.91414908
5170,2021-09-25,6930122,3108472,156855,2.229430408,11,44.18170922
5171,2021-09-25,511065,250649,20710,2.038966842,12,24.67720908
5172,2021-09-25,4730289,2151134,82439,2.198974587,15,57.37926224
5173,2021-09-25,91154,35320,2050,2.580804077,16,44.46536585
5174,2021-09-25,259601,152799,2055,1.698970543,17,126.3265207
5175,2021-09-26,2514148,1185127,75664,2.121416523,2,33.22779657
5176,2021-09-26,947221,494149,37795,1.916873251,3,25.0620717
5177,2021-09-26,467735,248192,28033,1.884569204,4,16.68515678
5178,2021-09-26,612556,298909,16830,2.049305976,5,36.39667261
5179,2021-09-26,891031,416393,20762,2.139879873,6,42.91643387
5180,2021-09-26,822739,380107,24936,2.164493156,7,32.9940247
5181,2021-09-26,1257337,610169,40086,2.060637299,9,31.36598813
5182,2021-09-26,202905,116269,6975,1.745134129,10,29.09032258
5183,2021-09-26,1292115,608485,34701,2.123495238,8,37.23567044
5184,2021-09-26,1589375,583315,42241,2.724728491,13,37.62635828
5185,2021-09-26,1678865,629043,33657,2.668919295,14,49.88159967
5186,2021-09-26,5880971,2739308,111358,2.146881986,11,52.81139209
5187,2021-09-26,533021,262962,24434,2.02698869,12,21.81472538
5188,2021-09-26,4165750,1944806,60947,2.141987427,15,68.35036999
5189,2021-09-26,76264,31883,1466,2.391995734,16,52.0218281
5190,2021-09-26,251727,149875,1766,1.67957965,17,142.5407701
5191,2021-09-27,2609175,1282131,98239,2.035029962,2,26.55946213
5192,2021-09-27,993431,527826,41359,1.88211835,3,24.01970551
5193,2021-09-27,447757,241801,27841,1.851758264,4,16.08264789
5194,2021-09-27,714719,342318,25889,2.087880275,5,27.60705319
5195,2021-09-27,985593,464076,31001,2.123774985,6,31.79229702
5196,2021-09-27,986625,437766,38438,2.253772563,7,25.66795879
5197,2021-09-27,1557457,716064,61519,2.175024858,9,25.31668265
5198,2021-09-27,274383,160353,11017,1.711118595,10,24.9054189
5199,2021-09-27,1580847,737955,54582,2.142199728,8,28.96278993
5200,2021-09-27,1907775,682557,61922,2.795041293,13,30.80932463
5201,2021-09-27,1751312,669788,53535,2.614725854,14,32.71340245
5202,2021-09-27,6399568,2994271,177249,2.137270808,11,36.10495969
5203,2021-09-27,517099,258192,24474,2.002769257,12,21.12850372
5204,2021-09-27,4399388,2084189,97934,2.110839276,15,44.92196786
5205,2021-09-27,88978,34914,2387,2.548490577,16,37.27607876
5206,2021-09-27,245767,143591,3126,1.711576631,17,78.62028151
5207,2021-09-28,2699429,1306238,100118,2.066567501,2,26.96247428
5208,2021-09-28,969019,520520,41251,1.86163644,3,23.49080022
5209,2021-09-28,454348,244272,27903,1.860008515,4,16.28312368
5210,2021-09-28,715171,343492,26257,2.082060135,5,27.23734623
5211,2021-09-28,933412,449865,31038,2.07487135,6,30.07320059
5212,2021-09-28,988351,439770,38975,2.247427064,7,25.35858884
5213,2021-09-28,1560368,713789,62816,2.186035369,9,24.84029547
5214,2021-09-28,272949,160706,11029,1.698436897,10,24.74829994
5215,2021-09-28,1599870,743437,55164,2.151991359,8,29.00206657
5216,2021-09-28,1920465,684736,62385,2.804679468,13,30.78408271
5217,2021-09-28,1795199,679342,54645,2.642555591,14,32.85202672
5218,2021-09-28,6357688,2982693,180523,2.131526107,11,35.21816057
5219,2021-09-28,521296,260391,24438,2.001973955,12,21.33136918
5220,2021-09-28,4404900,2088793,99733,2.108825527,15,44.16692569
5221,2021-09-28,94546,35856,2449,2.636825078,16,38.60596162
5222,2021-09-28,244599,143988,3110,1.698745729,17,78.64919614
5223,2021-09-29,2754239,1320902,100548,2.085119865,2,27.3922803
5224,2021-09-29,965987,517762,41055,1.86569698,3,23.52909512
5225,2021-09-29,452895,244994,27381,1.848596292,4,16.54048428
5226,2021-09-29,741102,351962,26417,2.105630721,5,28.05398039
5227,2021-09-29,1012492,472241,31758,2.14401545,6,31.88147868
5228,2021-09-29,1015266,447402,39225,2.269247791,7,25.88313576
5229,2021-09-29,1564573,718184,62312,2.178512749,9,25.10869495
5230,2021-09-29,269240,158382,11039,1.69994065,10,24.38989039
5231,2021-09-29,1526396,726421,54214,2.101255333,8,28.15501531
5232,2021-09-29,1939366,689160,62461,2.814101225,13,31.04923072
5233,2021-09-29,1849315,696413,54948,2.655486041,14,33.65572905
5234,2021-09-29,6518054,3040902,180626,2.143460723,11,36.08591233
5235,2021-09-29,541186,267373,24404,2.024086202,12,22.17611867
5236,2021-09-29,4485475,2131227,99695,2.104644414,15,44.99197553
5237,2021-09-29,97097,36789,2460,2.639294354,16,39.4703252
5238,2021-09-29,250120,147765,3155,1.692687714,17,79.27733756
5239,2021-09-30,2675687,1293125,98395,2.069163461,2,27.19332283
5240,2021-09-30,1043424,543315,42430,1.920477071,3,24.59165685
5241,2021-09-30,486431,256931,27808,1.893235927,4,17.49248418
5242,2021-09-30,699863,338976,25843,2.064638794,5,27.08133731
5243,2021-09-30,1011596,472285,31529,2.141918545,6,32.08462051
5244,2021-09-30,1039068,455644,39338,2.280438237,7,26.4138492
5245,2021-09-30,1634479,737423,63539,2.216474127,9,25.72402776
5246,2021-09-30,284825,165324,11222,1.722829111,10,25.38094814
5247,2021-09-30,1651948,761325,55761,2.169832857,8,29.62550887
5248,2021-09-30,1980468,697805,62602,2.838139595,13,31.63585828
5249,2021-09-30,1934766,708025,55117,2.732623848,14,35.10289022
5250,2021-09-30,6718110,3103124,182243,2.164950547,11,36.86347349
5251,2021-09-30,561914,273602,24444,2.053764227,12,22.98780887
5252,2021-09-30,4700713,2209486,100533,2.127514273,15,46.75791034
5253,2021-09-30,94536,36377,2436,2.598784947,16,38.80788177
5254,2021-09-30,255483,151272,3124,1.688898144,17,81.78072983
5255,2021-10-01,2769190,1321128,96263,2.096080016,2,28.76691979
5256,2021-10-01,988447,517606,32186,1.909651356,3,30.71046418
5257,2021-10-01,392529,217407,15868,1.805503043,4,24.73714394
5258,2021-10-01,775165,361391,26579,2.144948269,5,29.16456601
5259,2021-10-01,1079968,494598,31778,2.183526824,6,33.98476934
5260,2021-10-01,1067261,465055,38528,2.294913505,7,27.70091881
5261,2021-10-01,1693974,756927,63122,2.237962181,9,26.83650708
5262,2021-10-01,290110,167080,10899,1.736353842,10,26.61803835
5263,2021-10-01,1711700,775116,55791,2.208314626,8,30.68057572
5264,2021-10-01,2076150,717616,62814,2.893121112,13,33.05234502
5265,2021-10-01,1979172,718272,55154,2.755463111,14,35.88446894
