,date,temp,state_id,state
6528,2021-03-11,27.6,4,Kelantan
6529,2021-03-11,28.1,5,Melaka
6530,2021-03-11,26.1,7,Pahang
6531,2021-03-11,29.2,8,Pulau Pinang
6532,2021-03-11,28.2,9,Perak
6533,2021-03-11,29.2,10,Perlis
6534,2021-03-11,27.9,11,Selangor
6535,2021-03-11,26.85,12,Terengganu
6536,2021-03-11,26.53333333333333,13,Sabah
6537,2021-03-11,26.625,14,Sarawak
6538,2021-03-11,27.9,15,W.P. Kuala Lumpur
6539,2021-03-11,27.3,16,W.P. Labuan
6540,2021-03-11,27.9,17,W.P. Putrajaya
6541,2021-03-12,26.0,2,Johor
6542,2021-03-12,27.4,3,Kedah
6543,2021-03-12,27.5,4,Kelantan
6544,2021-03-12,26.4,5,Melaka
6545,2021-03-12,24.0,7,Pahang
6546,2021-03-12,27.4,8,Pulau Pinang
6547,2021-03-12,25.6,9,Perak
6548,2021-03-12,27.4,10,Perlis
6549,2021-03-12,26.5,11,Selangor
6550,2021-03-12,25.75,12,Terengganu
6551,2021-03-12,26.866666666666664,13,Sabah
6552,2021-03-12,26.425,14,Sarawak
6553,2021-03-12,26.4,15,W.P. Kuala Lumpur
6554,2021-03-12,27.3,16,W.P. Labuan
6555,2021-03-12,26.6,17,W.P. Putrajaya
6556,2021-03-13,26.9,2,Johor
6557,2021-03-13,28.4,3,Kedah
6558,2021-03-13,27.1,4,Kelantan
6559,2021-03-13,27.9,5,Melaka
6560,2021-03-13,25.2,7,Pahang
6561,2021-03-13,28.4,8,Pulau Pinang
6562,2021-03-13,27.4,9,Perak
6563,2021-03-13,28.4,10,Perlis
6564,2021-03-13,26.9,11,Selangor
6565,2021-03-13,26.15,12,Terengganu
6566,2021-03-13,26.8,13,Sabah
6567,2021-03-13,25.8,14,Sarawak
6568,2021-03-13,27.2,15,W.P. Kuala Lumpur
6569,2021-03-13,26.6,16,W.P. Labuan
6570,2021-03-13,26.6,17,W.P. Putrajaya
6571,2021-03-14,28.0,2,Johor
6572,2021-03-14,29.0,3,Kedah
6573,2021-03-14,27.8,4,Kelantan
6574,2021-03-14,28.6,5,Melaka
6575,2021-03-14,26.8,7,Pahang
6576,2021-03-14,29.0,8,Pulau Pinang
6577,2021-03-14,28.4,9,Perak
6578,2021-03-14,29.0,10,Perlis
6579,2021-03-14,28.15,11,Selangor
6580,2021-03-14,27.3,12,Terengganu
6581,2021-03-14,26.566666666666666,13,Sabah
6582,2021-03-14,26.3,14,Sarawak
6583,2021-03-14,28.1,15,W.P. Kuala Lumpur
6584,2021-03-14,26.7,16,W.P. Labuan
6585,2021-03-14,28.2,17,W.P. Putrajaya
6586,2021-03-15,28.3,2,Johor
6587,2021-03-15,29.6,3,Kedah
6588,2021-03-15,27.2,4,Kelantan
6589,2021-03-15,28.4,5,Melaka
6590,2021-03-15,27.3,7,Pahang
6591,2021-03-15,29.6,8,Pulau Pinang
6592,2021-03-15,29.1,9,Perak
6593,2021-03-15,29.6,10,Perlis
6594,2021-03-15,28.6,11,Selangor
6595,2021-03-15,27.25,12,Terengganu
6596,2021-03-15,27.633333333333336,13,Sabah
6597,2021-03-15,27.275,14,Sarawak
6598,2021-03-15,28.8,15,W.P. Kuala Lumpur
6599,2021-03-15,27.5,16,W.P. Labuan
6600,2021-03-15,28.4,17,W.P. Putrajaya
6601,2021-03-16,27.7,2,Johor
6602,2021-03-16,29.0,3,Kedah
6603,2021-03-16,26.9,4,Kelantan
6604,2021-03-16,27.5,5,Melaka
6605,2021-03-16,26.8,7,Pahang
6606,2021-03-16,29.0,8,Pulau Pinang
6607,2021-03-16,27.2,9,Perak
6608,2021-03-16,29.0,10,Perlis
6609,2021-03-16,26.549999999999997,11,Selangor
6610,2021-03-16,26.85,12,Terengganu
6611,2021-03-16,27.5,13,Sabah
6612,2021-03-16,27.05,14,Sarawak
6613,2021-03-16,26.9,15,W.P. Kuala Lumpur
6614,2021-03-16,27.4,16,W.P. Labuan
6615,2021-03-16,26.2,17,W.P. Putrajaya
6616,2021-03-17,27.0,2,Johor
6617,2021-03-17,28.0,3,Kedah
6618,2021-03-17,26.7,4,Kelantan
6619,2021-03-17,27.5,5,Melaka
6620,2021-03-17,27.9,7,Pahang
6621,2021-03-17,28.0,8,Pulau Pinang
6622,2021-03-17,28.1,9,Perak
6623,2021-03-17,28.0,10,Perlis
6624,2021-03-17,27.35,11,Selangor
6625,2021-03-17,27.299999999999997,12,Terengganu
6626,2021-03-17,27.73333333333333,13,Sabah
6627,2021-03-17,27.25,14,Sarawak
6628,2021-03-17,27.2,15,W.P. Kuala Lumpur
6629,2021-03-17,27.9,16,W.P. Labuan
6630,2021-03-17,27.5,17,W.P. Putrajaya
6631,2021-03-18,28.2,2,Johor
6632,2021-03-18,29.2,3,Kedah
6633,2021-03-18,27.1,4,Kelantan
6634,2021-03-18,27.7,5,Melaka
6635,2021-03-18,28.1,7,Pahang
6636,2021-03-18,29.2,8,Pulau Pinang
6637,2021-03-18,28.6,9,Perak
6638,2021-03-18,29.2,10,Perlis
6639,2021-03-18,27.6,11,Selangor
6640,2021-03-18,27.6,12,Terengganu
6641,2021-03-18,27.5,13,Sabah
6642,2021-03-18,25.325,14,Sarawak
6643,2021-03-18,27.8,15,W.P. Kuala Lumpur
6644,2021-03-18,27.2,16,W.P. Labuan
6645,2021-03-18,27.4,17,W.P. Putrajaya
6646,2021-03-19,26.8,2,Johor
6647,2021-03-19,28.9,3,Kedah
6648,2021-03-19,26.7,4,Kelantan
6649,2021-03-19,28.4,5,Melaka
6650,2021-03-19,27.9,7,Pahang
6651,2021-03-19,28.9,8,Pulau Pinang
6652,2021-03-19,28.6,9,Perak
6653,2021-03-19,28.9,10,Perlis
6654,2021-03-19,27.1,11,Selangor
6655,2021-03-19,27.299999999999997,12,Terengganu
6656,2021-03-19,27.833333333333332,13,Sabah
6657,2021-03-19,27.5,14,Sarawak
6658,2021-03-19,26.9,15,W.P. Kuala Lumpur
6659,2021-03-19,28.1,16,W.P. Labuan
6660,2021-03-19,27.3,17,W.P. Putrajaya
6661,2021-03-20,27.2,2,Johor
6662,2021-03-20,29.3,3,Kedah
6663,2021-03-20,28.2,4,Kelantan
6664,2021-03-20,28.4,5,Melaka
6665,2021-03-20,28.6,7,Pahang
6666,2021-03-20,29.3,8,Pulau Pinang
6667,2021-03-20,28.6,9,Perak
6668,2021-03-20,29.3,10,Perlis
6669,2021-03-20,27.5,11,Selangor
6670,2021-03-20,28.4,12,Terengganu
6671,2021-03-20,27.900000000000002,13,Sabah
6672,2021-03-20,27.4,14,Sarawak
6673,2021-03-20,27.0,15,W.P. Kuala Lumpur
6674,2021-03-20,27.9,16,W.P. Labuan
6675,2021-03-20,28.0,17,W.P. Putrajaya
6676,2021-03-21,27.0,2,Johor
6677,2021-03-21,30.1,3,Kedah
6678,2021-03-21,28.6,4,Kelantan
6679,2021-03-21,28.6,5,Melaka
6680,2021-03-21,28.4,7,Pahang
6681,2021-03-21,30.1,8,Pulau Pinang
6682,2021-03-21,29.1,9,Perak
6683,2021-03-21,30.1,10,Perlis
6684,2021-03-21,27.950000000000003,11,Selangor
6685,2021-03-21,28.5,12,Terengganu
6686,2021-03-21,27.200000000000003,13,Sabah
6687,2021-03-21,26.825,14,Sarawak
6688,2021-03-21,28.1,15,W.P. Kuala Lumpur
6689,2021-03-21,27.9,16,W.P. Labuan
6690,2021-03-21,27.8,17,W.P. Putrajaya
6691,2021-03-22,28.2,2,Johor
6692,2021-03-22,30.1,3,Kedah
6693,2021-03-22,29.1,4,Kelantan
6694,2021-03-22,28.1,5,Melaka
6695,2021-03-22,28.2,7,Pahang
6696,2021-03-22,30.1,8,Pulau Pinang
6697,2021-03-22,28.3,9,Perak
6698,2021-03-22,30.1,10,Perlis
6699,2021-03-22,29.049999999999997,11,Selangor
6700,2021-03-22,28.65,12,Terengganu
6701,2021-03-22,26.96666666666667,13,Sabah
6702,2021-03-22,26.3,14,Sarawak
6703,2021-03-22,29.2,15,W.P. Kuala Lumpur
6704,2021-03-22,27.6,16,W.P. Labuan
6705,2021-03-22,28.9,17,W.P. Putrajaya
6706,2021-03-23,26.1,2,Johor
6707,2021-03-23,28.1,3,Kedah
6708,2021-03-23,28.4,4,Kelantan
6709,2021-03-23,26.8,5,Melaka
6710,2021-03-23,24.3,7,Pahang
6711,2021-03-23,28.1,8,Pulau Pinang
6712,2021-03-23,26.6,9,Perak
6713,2021-03-23,28.1,10,Perlis
6714,2021-03-23,27.65,11,Selangor
6715,2021-03-23,26.35,12,Terengganu
6716,2021-03-23,26.900000000000002,13,Sabah
6717,2021-03-23,26.7,14,Sarawak
6718,2021-03-23,27.7,15,W.P. Kuala Lumpur
6719,2021-03-23,28.0,16,W.P. Labuan
6720,2021-03-23,27.6,17,W.P. Putrajaya
6721,2021-03-24,24.5,2,Johor
6722,2021-03-24,27.6,3,Kedah
6723,2021-03-24,27.9,4,Kelantan
6724,2021-03-24,25.5,5,Melaka
6725,2021-03-24,24.7,7,Pahang
6726,2021-03-24,27.6,8,Pulau Pinang
6727,2021-03-24,26.8,9,Perak
6728,2021-03-24,27.6,10,Perlis
6729,2021-03-24,26.9,11,Selangor
6730,2021-03-24,26.299999999999997,12,Terengganu
6731,2021-03-24,26.933333333333334,13,Sabah
6732,2021-03-24,26.975,14,Sarawak
6733,2021-03-24,27.3,15,W.P. Kuala Lumpur
6734,2021-03-24,28.4,16,W.P. Labuan
6735,2021-03-24,26.5,17,W.P. Putrajaya
6736,2021-03-25,26.3,2,Johor
6737,2021-03-25,27.3,3,Kedah
6738,2021-03-25,28.6,4,Kelantan
6739,2021-03-25,26.2,5,Melaka
6740,2021-03-25,24.4,7,Pahang
6741,2021-03-25,27.3,8,Pulau Pinang
6742,2021-03-25,26.7,9,Perak
6743,2021-03-25,27.3,10,Perlis
6744,2021-03-25,27.15,11,Selangor
6745,2021-03-25,26.5,12,Terengganu
6746,2021-03-25,25.633333333333336,13,Sabah
6747,2021-03-25,26.175,14,Sarawak
6748,2021-03-25,27.1,15,W.P. Kuala Lumpur
6749,2021-03-25,26.5,16,W.P. Labuan
6750,2021-03-25,27.2,17,W.P. Putrajaya
6751,2021-03-26,27.5,2,Johor
6752,2021-03-26,27.1,3,Kedah
6753,2021-03-26,27.8,4,Kelantan
6754,2021-03-26,27.5,5,Melaka
6755,2021-03-26,27.4,7,Pahang
6756,2021-03-26,27.1,8,Pulau Pinang
6757,2021-03-26,26.9,9,Perak
6758,2021-03-26,27.1,10,Perlis
6759,2021-03-26,27.85,11,Selangor
6760,2021-03-26,27.6,12,Terengganu
6761,2021-03-26,27.5,13,Sabah
6762,2021-03-26,27.05,14,Sarawak
6763,2021-03-26,27.7,15,W.P. Kuala Lumpur
6764,2021-03-26,27.1,16,W.P. Labuan
