id,cluster,date_announced,date_last_onset,category,status,state_id
7520,KLUSTER TAPAK BINA KAMPUNG SEDENG,2021-07-25,2021-08-12,workplace,ended,1
7521,KLUSTER PERSIARAN DESA TEBRAU,2021-07-25,2021-08-14,workplace,ended,2
7522,KLUSTER PERSIARAN DESA TEBRAU,2021-07-25,2021-08-14,workplace,ended,1
7523,KLUSTER TOK KHALIFAH,2021-07-25,2021-08-14,community,ended,11
7524,KLUSTER TOK KHALIFAH,2021-07-25,2021-08-14,community,ended,1
7525,KLUSTER GERBANG KAURAN,2021-07-25,2021-08-17,community,ended,13
7526,KLUSTER GERBANG KAURAN,2021-07-25,2021-08-17,community,ended,1
7527,KLUSTER SIMPANG TIGA RANAU,2021-07-25,2021-08-17,highRisk,ended,13
7528,KLUSTER SIMPANG TIGA RANAU,2021-07-25,2021-08-17,highRisk,ended,1
7529,KLUSTER DAH KEDUNDUNG INDUSTRI ALOR SETAR,2021-07-25,2021-08-19,workplace,ended,3
7530,KLUSTER DAH KEDUNDUNG INDUSTRI ALOR SETAR,2021-07-25,2021-08-19,workplace,ended,1
7531,KLUSTER TINABAU,2021-07-25,2021-08-23,workplace,ended,13
7532,KLUSTER TINABAU,2021-07-25,2021-08-23,workplace,ended,1
7533,KLUSTER B5 KERATONG TUJUH,2021-07-25,2021-08-26,community,ended,7
7534,KLUSTER B5 KERATONG TUJUH,2021-07-25,2021-08-26,community,ended,1
7535,KLUSTER BATU ENAM PENJOM,2021-07-25,2021-08-28,community,ended,7
7536,KLUSTER BATU ENAM PENJOM,2021-07-25,2021-08-28,community,ended,1
7537,KLUSTER ALOR BAKONG,2021-07-25,2021-09-02,community,ended,9
7538,KLUSTER ALOR BAKONG,2021-07-25,2021-09-02,community,ended,1
7539,KLUSTER BAGAN SABAK,2021-07-25,2021-09-04,workplace,ended,9
7540,KLUSTER BAGAN SABAK,2021-07-25,2021-09-04,workplace,ended,11
7541,KLUSTER BAGAN SABAK,2021-07-25,2021-09-04,workplace,ended,1
7542,KLUSTER DAH BUKIT,2021-07-25,2021-09-06,community,ended,3
7543,KLUSTER DAH BUKIT,2021-07-25,2021-09-06,community,ended,1
7544,KLUSTER INDUSTRI JALAN HAJI MANAN,2021-07-26,2021-07-25,workplace,ended,11
7545,KLUSTER INDUSTRI JALAN HAJI MANAN,2021-07-26,2021-07-25,workplace,ended,1
7546,KLUSTER INDUSTRI KESIDANG LIMA,2021-07-26,2021-07-25,workplace,ended,11
7547,KLUSTER INDUSTRI KESIDANG LIMA,2021-07-26,2021-07-25,workplace,ended,1
7548,KLUSTER INDUSTRI PERUSAHAAN BATU 20,2021-07-26,2021-07-25,workplace,ended,11
7549,KLUSTER INDUSTRI PERUSAHAAN BATU 20,2021-07-26,2021-07-25,workplace,ended,1
7550,KLUSTER JALAN AMAN SHAH,2021-07-26,2021-07-25,community,ended,9
7551,KLUSTER JALAN AMAN SHAH,2021-07-26,2021-07-25,community,ended,1
7552,KLUSTER GOM TUJUH,2021-07-26,2021-07-25,workplace,ended,14
7553,KLUSTER GOM TUJUH,2021-07-26,2021-07-25,workplace,ended,1
7554,KLUSTER SIMPANG EMPAT PANJI,2021-07-26,2021-07-26,community,ended,4
7555,KLUSTER SIMPANG EMPAT PANJI,2021-07-26,2021-07-26,community,ended,1
7556,KLUSTER DAH RUAT,2021-07-26,2021-07-26,community,ended,3
7557,KLUSTER DAH RUAT,2021-07-26,2021-07-26,community,ended,1
7558,KLUSTER JALAN DELIMA BINTANG,2021-07-26,2021-07-27,community,ended,15
7559,KLUSTER JALAN DELIMA BINTANG,2021-07-26,2021-07-27,community,ended,1
7560,KLUSTER INDUSTRI JALAN PERDANA,2021-07-26,2021-07-27,workplace,ended,2
7561,KLUSTER INDUSTRI JALAN PERDANA,2021-07-26,2021-07-27,workplace,ended,1
7562,KLUSTER BAGAN TUNJANG,2021-07-26,2021-07-30,community,ended,11
7563,KLUSTER BAGAN TUNJANG,2021-07-26,2021-07-30,community,ended,1
7564,KLUSTER LORONG HAJI LAMAT,2021-07-26,2021-07-30,community,ended,5
7565,KLUSTER LORONG HAJI LAMAT,2021-07-26,2021-07-30,community,ended,1
7566,KLUSTER PADANG LIMAU NIPIS,2021-07-26,2021-07-30,workplace,ended,12
7567,KLUSTER PADANG LIMAU NIPIS,2021-07-26,2021-07-30,workplace,ended,1
7568,KLUSTER TAPAK BINA JALAN PELANGI,2021-07-26,2021-07-30,workplace,ended,15
7569,KLUSTER TAPAK BINA JALAN PELANGI,2021-07-26,2021-07-30,workplace,ended,1
7570,KLUSTER LORONG YUSOF BONGSU,2021-07-26,2021-07-31,community,ended,4
7571,KLUSTER LORONG YUSOF BONGSU,2021-07-26,2021-07-31,community,ended,1
7572,KLUSTER JALAN MAKMUR INDUSTRI,2021-07-26,2021-08-01,workplace,ended,2
7573,KLUSTER JALAN MAKMUR INDUSTRI,2021-07-26,2021-08-01,workplace,ended,1
7574,KLUSTER KAMPUNG TEMPOYAK,2021-07-26,2021-08-02,workplace,ended,4
7575,KLUSTER KAMPUNG TEMPOYAK,2021-07-26,2021-08-02,workplace,ended,12
7576,KLUSTER KAMPUNG TEMPOYAK,2021-07-26,2021-08-02,workplace,ended,1
7577,KLUSTER DAH TELUK,2021-07-26,2021-08-03,education,ended,3
7578,KLUSTER DAH TELUK,2021-07-26,2021-08-03,education,ended,1
7579,KLUSTER INDUSTRI BATU 61,2021-07-26,2021-08-03,workplace,ended,7
7580,KLUSTER INDUSTRI BATU 61,2021-07-26,2021-08-03,workplace,ended,1
7581,KLUSTER TAMAN PERINDUSTRIAN SINARAN,2021-07-26,2021-08-03,workplace,ended,2
7582,KLUSTER TAMAN PERINDUSTRIAN SINARAN,2021-07-26,2021-08-03,workplace,ended,1
7583,KLUSTER JALAN MAHIR EMPAT,2021-07-26,2021-08-05,workplace,ended,2
7584,KLUSTER JALAN MAHIR EMPAT,2021-07-26,2021-08-05,workplace,ended,1
7585,KLUSTER JALAN TATAU-SELANGAU,2021-07-26,2021-08-06,workplace,ended,14
7586,KLUSTER JALAN TATAU-SELANGAU,2021-07-26,2021-08-06,workplace,ended,1
7587,KLUSTER JALAN ANGGERIK PANJI,2021-07-26,2021-08-07,education,ended,4
7588,KLUSTER JALAN ANGGERIK PANJI,2021-07-26,2021-08-07,education,ended,1
7589,KLUSTER PLO JALAN PERAK TIGA,2021-07-26,2021-08-08,workplace,ended,2
7590,KLUSTER PLO JALAN PERAK TIGA,2021-07-26,2021-08-08,workplace,ended,1
7591,KLUSTER TANJUNG MEDAN,2021-07-26,2021-08-09,community,ended,9
7592,KLUSTER TANJUNG MEDAN,2021-07-26,2021-08-09,community,ended,11
7593,KLUSTER TANJUNG MEDAN,2021-07-26,2021-08-09,community,ended,1
7594,KLUSTER INDUSTRI NILAI EMAS,2021-07-26,2021-08-11,workplace,ended,6
7595,KLUSTER INDUSTRI NILAI EMAS,2021-07-26,2021-08-11,workplace,ended,1
7596,KLUSTER JALAN SILC DUA,2021-07-26,2021-08-11,workplace,ended,2
7597,KLUSTER JALAN SILC DUA,2021-07-26,2021-08-11,workplace,ended,1
7598,KLUSTER TANAH MAS BIDOR,2021-07-26,2021-08-13,workplace,ended,9
7599,KLUSTER TANAH MAS BIDOR,2021-07-26,2021-08-13,workplace,ended,1
7600,KLUSTER JALAN MERAK JENGKA TUJUH,2021-07-26,2021-08-16,community,ended,7
7601,KLUSTER JALAN MERAK JENGKA TUJUH,2021-07-26,2021-08-16,community,ended,1
7602,KLUSTER TERATAI KULAI,2021-07-26,2021-08-18,community,ended,2
7603,KLUSTER TERATAI KULAI,2021-07-26,2021-08-18,community,ended,1
7604,KLUSTER TAPAK BINA JALAN CONLAY,2021-07-26,2021-08-21,workplace,ended,15
7605,KLUSTER TAPAK BINA JALAN CONLAY,2021-07-26,2021-08-21,workplace,ended,1
7606,KLUSTER INDUSTRI JALAN PANTAI,2021-07-26,2021-09-01,workplace,ended,8
